model_name,patch_size,embed_dim,depth,heads,mlp_dim,parameter_count,flops_forward,train_time_per_epoch_sec,final_train_loss,final_val_loss,test_accuracy_pct,notes
vit_patch4_dim256_d4_h4,4,256,4,4,1024,3214692,213150720.0,23.014994249899974,3.325062321166992,3.283429249572754,20.01,device=cuda
vit_patch4_dim512_d8_h8,4,512,8,8,2048,25330276,1670440960.0,106.7151448088,4.303222235870361,4.323156537628174,4.51,device=cuda
vit_patch8_dim256_d4_h4,8,256,4,4,1024,3239268,54094848.0,12.217159177000031,3.9021818753051756,3.8850593700408935,9.68,device=cuda
vit_patch8_dim512_d8_h8,8,512,8,8,2048,25379428,430237696.0,42.299152067499975,4.227836342468262,4.269351300048828,4.95,device=cuda
resnet18,,,,,,11220132,555468800.0,61.23656448109996,1.048969123954773,1.3918816534042358,61.2,device=cuda
